"Model","split_num","iter_num","AUC_score"
"AB5",0,1,0.917075831969449
"AB5",1,1,0.845997973657548
"AB5",2,1,0.837658795105604
"AB5",3,1,0.936177919443639
"AB5",4,1,0.878151260504202
"AB5",5,1,0.874166908142567
"AB5",6,1,0.826934221964648
"AB5",7,1,0.792958562735439
"AB5",8,1,0.901332946971892
"AB5",9,1,0.933932193567082
"AB5",0,2,0.811783960720131
"AB5",1,2,0.875418907333801
"AB5",2,2,0.969760735718183
"AB5",3,2,0.869385685308606
"AB5",4,2,0.753549695740365
"AB5",5,2,0.883367139959432
"AB5",6,2,0.827658649666763
"AB5",7,2,0.832584758041148
"AB5",8,2,0.883512025499855
"AB5",9,2,0.837655751955955
"AB6",0,0,0.938586236458577
"AB6",1,0,0.941002260151196
"AB6",2,0,0.89564336372847
"AB6",3,0,0.860040567951318
"AB6",4,0,0.834468270066647
"AB6",5,0,0.818820631700956
"AB6",6,0,0.844320486815416
"AB6",7,0,0.824471167777456
"AB6",8,0,0.941611127209505
"AB6",9,0,0.943856853086062
"AB6",0,1,0.886680695191334
"AB6",1,1,0.820824565505417
"AB6",2,1,0.850362403553893
"AB6",3,1,0.92770211532889
"AB6",4,1,0.895899739206027
"AB6",5,1,0.882425383946682
"AB6",6,1,0.845407128368589
"AB6",7,1,0.816719791364822
"AB6",8,1,0.918501883512026
"AB6",9,1,0.936395247754274
"AB6",0,2,0.88777180266542
"AB6",1,2,0.907372769074897
"AB6",2,2,0.979892447977554
"AB6",3,2,0.881773399014778
"AB6",4,2,0.829216169226311
"AB6",5,2,0.884381338742394
"AB6",6,2,0.860330339032165
"AB6",7,2,0.869313242538395
"AB6",8,2,0.82374674007534
"AB6",9,2,0.819762387713706
"AB7",0,0,0.824409632920271
"AB7",1,0,0.940456706414153
"AB7",2,0,0.901566518587795
"AB7",3,0,0.862286293827876
"AB7",4,0,0.80483917705013
"AB7",5,0,0.797087800637497
"AB7",6,0,0.843740944653724
"AB7",7,0,0.801361924079977
"AB7",8,0,0.936902347145755
"AB7",9,0,0.948275862068966
"AB7",0,1,0.89798145117294
"AB7",1,1,0.821993609227652
"AB7",2,1,0.836879432624113
"AB7",3,1,0.942625325992466
"AB7",4,1,0.885975079687047
"AB7",5,1,0.838307736887859
"AB7",6,1,0.833598956824109
"AB7",7,1,0.812662996232976
"AB7",8,1,0.918936540133295
"AB7",9,1,0.933062880324544
"AB7",0,2,0.875457875457875
"AB7",1,2,0.905268490374873
"AB7",2,2,0.977944041773829
"AB7",3,2,0.878513474355259
"AB7",4,2,0.775391190959142
"AB7",5,2,0.877281947261663
"AB7",6,2,0.839901477832512
"AB7",7,2,0.845189800057954
"AB7",8,2,0.822732541292379
"AB7",9,2,0.828672848449725
"AB8",0,0,0.847167017379783
"AB8",1,0,0.925570883017691
"AB8",2,0,0.896344789961811
"AB8",3,0,0.857867284844972
"AB8",4,0,0.834975369458128
"AB8",5,0,0.783613445378151
"AB8",6,0,0.845044914517531
"AB8",7,0,0.802013909011881
"AB8",8,0,0.929150970733121
"AB8",9,0,0.930020283975659
"AB8",0,1,0.904216351024862
"AB8",1,1,0.86400124697997
"AB8",2,1,0.821525991738758
"AB8",3,1,0.94421906693712
"AB8",4,1,0.881773399014778
"AB8",5,1,0.82657200811359
"AB8",6,1,0.828238191828456
"AB8",7,1,0.805708490292669
"AB8",8,1,0.902709359605911
"AB8",9,1,0.940307157345697
"AB8",0,2,0.836178006390772
"AB8",1,2,0.911503390226795
"AB8",2,2,0.974904528096018
"AB8",3,2,0.87619530570849
"AB8",4,2,0.757606490872211
"AB8",5,2,0.859098811938569
"AB8",6,2,0.823891625615763
